 A_signal_KK A_signal_pipi R_signal_KK R_signal_pipi A_signal_pipipipi R_signal_pipipipi R_signal_piK_plus R_signal_piK_minus R_signal_piKpipi_plus R_signal_piKpipi_minus A_signal_Kpi A_signal_Kpipipi
A_signal_KK 1 0.00328387 0.0347492 -0.0069256 0.00220149 -0.00472617 -0.00145236 -0.0062829 -0.00516925 -0.0055747 -0.0143183 -0.0115487
A_signal_pipi 0.00328387 1 0.00615938 0.0610181 0.000716953 -4.85743e-05 -0.000725733 -0.00431469 -0.00411255 -0.00357871 -0.0121424 -0.0100708
R_signal_KK 0.0347492 0.00615938 1 0.0389106 0.00172269 0.0300995 0.017433 0.0160105 -0.00267269 -0.00307423 -0.0353131 -0.0299095
R_signal_pipi -0.0069256 0.0610181 0.0389106 1 -0.00184364 0.0396117 0.01437 0.0346703 0.0172188 0.0186018 0.0330747 0.03006
A_signal_pipipipi 0.00220149 0.000716953 0.00172269 -0.00184364 1 0.00521506 -0.000400081 -0.002209 -0.00104453 -0.00274862 0.000233984 0.0024208
R_signal_pipipipi -0.00472617 -4.85743e-05 0.0300995 0.0396117 0.00521506 1 0.00667098 0.016974 0.0227157 0.0258502 0.015525 0.010765
R_signal_piK_plus -0.00145236 -0.000725733 0.017433 0.01437 -0.000400081 0.00667098 1 0.0479819 0.00927329 0.00996755 0.0843407 0.00186825
R_signal_piK_minus -0.0062829 -0.00431469 0.0160105 0.0346703 -0.002209 0.016974 0.0479819 1 0.0186002 0.02067 -0.0826137 0.0250877
R_signal_piKpipi_plus -0.00516925 -0.00411255 -0.00267269 0.0172188 -0.00104453 0.0227157 0.00927329 0.0186002 1 0.0638059 0.0242231 0.11088
R_signal_piKpipi_minus -0.0055747 -0.00357871 -0.00307423 0.0186018 -0.00274862 0.0258502 0.00996755 0.02067 0.0638059 1 0.0254477 -0.0644236
A_signal_Kpi -0.0143183 -0.0121424 -0.0353131 0.0330747 0.000233984 0.015525 0.0843407 -0.0826137 0.0242231 0.0254477 1 0.0783267
A_signal_Kpipipi -0.0115487 -0.0100708 -0.0299095 0.03006 0.0024208 0.010765 0.00186825 0.0250877 0.11088 -0.0644236 0.0783267 1
