 A_signal_KK_run1 A_signal_pipi_run1 R_signal_KK_run1 R_signal_pipi_run1 R_signal_piK_run1_plus R_signal_piK_run1_minus R_signal_piKpipi_run1_plus R_signal_piKpipi_run1_minus A_signal_Kpi_run1 A_signal_Kpipipi_run1
A_signal_KK_run1 1 0.000949455 0.0836074 -0.00387267 0.00232334 -0.00367452 -0.00312918 -0.00318576 -0.00542993 -0.00537785
A_signal_pipi_run1 0.000949455 1 0.00131381 0.00733017 0.00134982 -0.00219281 -0.00246959 -0.00194136 -0.00337707 -0.00322869
R_signal_KK_run1 0.0836074 0.00131381 1 0.0307058 0.0132398 0.0209847 -0.00371864 -0.00361901 -0.0155645 -0.0124367
R_signal_pipi_run1 -0.00387267 0.00733017 0.0307058 1 -0.000217862 0.0285539 0.0106817 0.0100773 0.0119169 0.0147585
R_signal_piK_run1_plus 0.00232334 0.00134982 0.0132398 -0.000217862 1 0.0232323 -0.00281631 -0.00248422 0.0527285 -0.0107356
R_signal_piK_run1_minus -0.00367452 -0.00219281 0.0209847 0.0285539 0.0232323 1 0.010773 0.0114088 -0.131723 0.0124093
R_signal_piKpipi_run1_plus -0.00312918 -0.00246959 -0.00371864 0.0106817 -0.00281631 0.010773 1 0.0404836 0.0121859 0.145761
R_signal_piKpipi_run1_minus -0.00318576 -0.00194136 -0.00361901 0.0100773 -0.00248422 0.0114088 0.0404836 1 0.0124919 -0.108558
A_signal_Kpi_run1 -0.00542993 -0.00337707 -0.0155645 0.0119169 0.0527285 -0.131723 0.0121859 0.0124919 1 0.0233517
A_signal_Kpipipi_run1 -0.00537785 -0.00322869 -0.0124367 0.0147585 -0.0107356 0.0124093 0.145761 -0.108558 0.0233517 1
