 A_signal_KK_run2 A_signal_pipi_run2 R_signal_KK_run2 R_signal_pipi_run2 A_signal_pipipipi_run2 R_signal_pipipipi_run2 R_signal_piK_run2_plus R_signal_piK_run2_minus R_signal_piKpipi_run2_plus R_signal_piKpipi_run2_minus A_signal_Kpi_run2 A_signal_Kpipipi_run2
A_signal_KK_run2 1 -0.00804925 -0.0109021 0.0131208 0.000229811 0.0066245 0.0103227 0.0119758 -0.00863859 -0.00826732 0.0407668 0.0347958
A_signal_pipi_run2 -0.00804925 1 0.0101533 0.0807895 0.00142176 0.00191912 -0.00644674 -0.00737226 0.00579131 0.00554992 -0.0206584 -0.0144343
R_signal_KK_run2 -0.0109021 0.0101533 1 0.0291899 0.00116746 0.0264175 0.0114306 0.0120863 0.0133777 0.0130235 -0.039073 -0.0322486
R_signal_pipi_run2 0.0131208 0.0807895 0.0291899 1 -0.00248938 0.0327034 0.0242476 0.0297278 -0.0058947 -0.00400353 0.032236 0.0258047
A_signal_pipipipi_run2 0.000229811 0.00142176 0.00116746 -0.00248938 1 0.00446733 -0.00168059 -0.00280684 0.00195847 0.000391407 0.00437278 0.00574622
R_signal_pipipipi_run2 0.0066245 0.00191912 0.0264175 0.0327034 0.00446733 1 0.00994459 0.0136387 0.00294693 0.00912099 0.0120401 0.00608485
R_signal_piK_run2_plus 0.0103227 -0.00644674 0.0114306 0.0242476 -0.00168059 0.00994459 1 0.0474671 -0.00115148 -0.000849242 0.115163 0.0175781
R_signal_piK_run2_minus 0.0119758 -0.00737226 0.0120863 0.0297278 -0.00280684 0.0136387 0.0474671 1 -0.00263012 -0.00110506 -0.0684084 0.0225537
R_signal_piKpipi_run2_plus -0.00863859 0.00579131 0.0133777 -0.0058947 0.00195847 0.00294693 -0.00115148 -0.00263012 1 0.0522287 -0.0213975 0.0449685
R_signal_piKpipi_run2_minus -0.00826732 0.00554992 0.0130235 -0.00400353 0.000391407 0.00912099 -0.000849242 -0.00110506 0.0522287 1 -0.0209313 -0.0869577
A_signal_Kpi_run2 0.0407668 -0.0206584 -0.039073 0.032236 0.00437278 0.0120401 0.115163 -0.0684084 -0.0213975 -0.0209313 1 0.0979148
A_signal_Kpipipi_run2 0.0347958 -0.0144343 -0.0322486 0.0258047 0.00574622 0.00608485 0.0175781 0.0225537 0.0449685 -0.0869577 0.0979148 1
