 A_signal_KK_run1 A_signal_pipi_run1 R_signal_KK_run1 R_signal_pipi_run1 R_signal_piK_run1_plus R_signal_piK_run1_minus R_signal_piKpipi_run1_plus R_signal_piKpipi_run1_minus A_signal_Kpi_run1 A_signal_Kpipipi_run1 A_signal_KK_run2 A_signal_pipi_run2 R_signal_KK_run2 R_signal_pipi_run2 A_signal_pipipipi_run2 R_signal_pipipipi_run2 R_signal_piK_run2_plus R_signal_piK_run2_minus R_signal_piKpipi_run2_plus R_signal_piKpipi_run2_minus A_signal_Kpi_run2 A_signal_Kpipipi_run2
A_signal_KK_run1 1 0.000949455 0.0836074 -0.00387267 0.00232334 -0.00367452 -0.00312918 -0.00318576 -0.00542993 -0.00537785 -0.00426914 0.00313379 0.00573141 -0.00324726 0.000769026 2.79227e-05 -0.00327757 -0.00389601 0.00324364 0.00287763 -0.0103728 -0.00818599
A_signal_pipi_run1 0.000949455 1 0.00131381 0.00733017 0.00134982 -0.00219281 -0.00246959 -0.00194136 -0.00337707 -0.00322869 -0.00251884 0.00163474 0.00116941 -0.00320859 0.000398945 -0.00253439 -0.00271169 -0.00296519 0.00173847 0.00181257 -0.00577303 -0.00445171
R_signal_KK_run1 0.0836074 0.00131381 1 0.0307058 0.0132398 0.0209847 -0.00371864 -0.00361901 -0.0155645 -0.0124367 -0.0105154 0.00682992 0.0314484 0.00525871 0.0018504 0.0159612 -0.00429524 -0.00585944 0.0089181 0.00840313 -0.0199491 -0.0158074
R_signal_pipi_run1 -0.00387267 0.00733017 0.0307058 1 -0.000217862 0.0285539 0.0106817 0.0100773 0.0119169 0.0147585 0.0111637 -0.00574151 0.00372282 0.0225391 -0.00158736 0.0212888 0.00939047 0.0119141 -0.00590815 -0.00527255 0.0291241 0.0231706
R_signal_piK_run1_plus 0.00232334 0.00134982 0.0132398 -0.000217862 1 0.0232323 -0.00281631 -0.00248422 0.0527285 -0.0107356 -0.00845753 0.00461088 0.0112024 -0.0052074 0.00117251 -0.00215039 0.0225171 0.00844051 0.00900407 0.00831595 -0.0183411 -0.0153505
R_signal_piK_run1_minus -0.00367452 -0.00219281 0.0209847 0.0285539 0.0232323 1 0.010773 0.0114088 -0.131723 0.0124093 0.00982843 -0.00589302 -0.00133192 0.0160775 -0.00179996 0.0102083 0.0217645 0.0364342 -0.00290941 -0.00173969 0.0258753 0.021399
R_signal_piKpipi_run1_plus -0.00312918 -0.00246959 -0.00371864 0.0106817 -0.00281631 0.010773 1 0.0404836 0.0121859 0.145761 0.00910702 -0.00597103 -0.00318673 0.013488 -0.00137376 0.00916139 0.012509 0.0144941 0.0241743 0.0113364 0.0236551 0.0191621
R_signal_piKpipi_run1_minus -0.00318576 -0.00194136 -0.00361901 0.0100773 -0.00248422 0.0114088 0.0404836 1 0.0124919 -0.108558 0.00918382 -0.00534039 -0.00318221 0.0140769 -0.00241108 0.00992477 0.0130772 0.0159302 0.0120778 0.0259921 0.0229141 0.0200184
A_signal_Kpi_run1 -0.00542993 -0.00337707 -0.0155645 0.0119169 0.0527285 -0.131723 0.0121859 0.0124919 1 0.0233517 0.0168825 -0.0104826 -0.0177155 0.0170983 -0.00262467 0.00887527 0.012711 0.0161118 -0.0116523 -0.0103237 0.0452338 0.0368608
A_signal_Kpipipi_run1 -0.00537785 -0.00322869 -0.0124367 0.0147585 -0.0107356 0.0124093 0.145761 -0.108558 0.0233517 1 0.0166018 -0.0106478 -0.0186633 0.0163439 -0.00248996 0.00896027 0.0122417 0.0150439 -0.0116616 -0.0105717 0.0467181 0.0387745
A_signal_KK_run2 -0.00426914 -0.00251884 -0.0105154 0.0111637 -0.00845753 0.00982843 0.00910702 0.00918382 0.0168825 0.0166018 1 -0.00804925 -0.0109021 0.0131208 0.000229811 0.0066245 0.0103227 0.0119758 -0.00863859 -0.00826732 0.0407668 0.0347958
A_signal_pipi_run2 0.00313379 0.00163474 0.00682992 -0.00574151 0.00461088 -0.00589302 -0.00597103 -0.00534039 -0.0104826 -0.0106478 -0.00804925 1 0.0101533 0.0807895 0.00142176 0.00191912 -0.00644674 -0.00737226 0.00579131 0.00554992 -0.0206584 -0.0144343
R_signal_KK_run2 0.00573141 0.00116941 0.0314484 0.00372282 0.0112024 -0.00133192 -0.00318673 -0.00318221 -0.0177155 -0.0186633 -0.0109021 0.0101533 1 0.0291899 0.00116746 0.0264175 0.0114306 0.0120863 0.0133777 0.0130235 -0.039073 -0.0322486
R_signal_pipi_run2 -0.00324726 -0.00320859 0.00525871 0.0225391 -0.0052074 0.0160775 0.013488 0.0140769 0.0170983 0.0163439 0.0131208 0.0807895 0.0291899 1 -0.00248938 0.0327034 0.0242476 0.0297278 -0.0058947 -0.00400353 0.032236 0.0258047
A_signal_pipipipi_run2 0.000769026 0.000398945 0.0018504 -0.00158736 0.00117251 -0.00179996 -0.00137376 -0.00241108 -0.00262467 -0.00248996 0.000229811 0.00142176 0.00116746 -0.00248938 1 0.00446733 -0.00168059 -0.00280684 0.00195847 0.000391407 0.00437278 0.00574622
R_signal_pipipipi_run2 2.79227e-05 -0.00253439 0.0159612 0.0212888 -0.00215039 0.0102083 0.00916139 0.00992477 0.00887527 0.00896027 0.0066245 0.00191912 0.0264175 0.0327034 0.00446733 1 0.00994459 0.0136387 0.00294693 0.00912099 0.0120401 0.00608485
R_signal_piK_run2_plus -0.00327757 -0.00271169 -0.00429524 0.00939047 0.0225171 0.0217645 0.012509 0.0130772 0.012711 0.0122417 0.0103227 -0.00644674 0.0114306 0.0242476 -0.00168059 0.00994459 1 0.0474671 -0.00115148 -0.000849242 0.115163 0.0175781
R_signal_piK_run2_minus -0.00389601 -0.00296519 -0.00585944 0.0119141 0.00844051 0.0364342 0.0144941 0.0159302 0.0161118 0.0150439 0.0119758 -0.00737226 0.0120863 0.0297278 -0.00280684 0.0136387 0.0474671 1 -0.00263012 -0.00110506 -0.0684084 0.0225537
R_signal_piKpipi_run2_plus 0.00324364 0.00173847 0.0089181 -0.00590815 0.00900407 -0.00290941 0.0241743 0.0120778 -0.0116523 -0.0116616 -0.00863859 0.00579131 0.0133777 -0.0058947 0.00195847 0.00294693 -0.00115148 -0.00263012 1 0.0522287 -0.0213975 0.0449685
R_signal_piKpipi_run2_minus 0.00287763 0.00181257 0.00840313 -0.00527255 0.00831595 -0.00173969 0.0113364 0.0259921 -0.0103237 -0.0105717 -0.00826732 0.00554992 0.0130235 -0.00400353 0.000391407 0.00912099 -0.000849242 -0.00110506 0.0522287 1 -0.0209313 -0.0869577
A_signal_Kpi_run2 -0.0103728 -0.00577303 -0.0199491 0.0291241 -0.0183411 0.0258753 0.0236551 0.0229141 0.0452338 0.0467181 0.0407668 -0.0206584 -0.039073 0.032236 0.00437278 0.0120401 0.115163 -0.0684084 -0.0213975 -0.0209313 1 0.0979148
A_signal_Kpipipi_run2 -0.00818599 -0.00445171 -0.0158074 0.0231706 -0.0153505 0.021399 0.0191621 0.0200184 0.0368608 0.0387745 0.0347958 -0.0144343 -0.0322486 0.0258047 0.00574622 0.00608485 0.0175781 0.0225537 0.0449685 -0.0869577 0.0979148 1
