 A_signal_KK A_signal_pipi R_signal_KK R_signal_pipi A_signal_pipipipi R_signal_pipipipi R_signal_piK_plus R_signal_piK_minus R_signal_piKpipi_plus R_signal_piKpipi_minus A_signal_Kpi A_signal_Kpipipi
A_signal_KK 1 0.000157247 0.0305482 0.000808467 5.18875e-05 0.00173975 -2.78685e-05 -0.000242381 3.66421e-05 3.44283e-05 -1.21826e-05 5.94921e-06
A_signal_pipi 0.000157247 1 0.00210236 0.0679096 -0.000172537 0.00395404 0.000285995 0.000589188 -4.03069e-05 0.000669424 1.04214e-05 1.91002e-05
R_signal_KK 0.0305482 0.00210236 1 0.0533168 0.000240632 0.0380176 0.0177988 0.0280543 0.00793516 0.00824569 -0.00442723 -0.00110947
R_signal_pipi 0.000808467 0.0679096 0.0533168 1 8.2982e-05 0.030423 0.012773 0.0208476 0.00587669 0.00628909 -0.00320057 -0.000762772
A_signal_pipipipi 5.18875e-05 -0.000172537 0.000240632 8.2982e-05 1 0.00719471 -0.000213114 -0.000560953 6.87907e-05 -0.000968945 -4.68158e-06 -0.000119124
R_signal_pipipipi 0.00173975 0.00395404 0.0380176 0.030423 0.00719471 1 0.00541908 0.00869054 0.0158318 0.0179469 -0.0012631 -0.00446482
R_signal_piK_plus -2.78685e-05 0.000285995 0.0177988 0.012773 -0.000213114 0.00541908 1 0.047189 0.00804796 0.00857816 0.0869504 -0.000488992
R_signal_piK_minus -0.000242381 0.000589188 0.0280543 0.0208476 -0.000560953 0.00869054 0.047189 1 0.00922455 0.0106773 -0.120945 -0.000477491
R_signal_piKpipi_plus 3.66421e-05 -4.03069e-05 0.00793516 0.00587669 6.87907e-05 0.0158318 0.00804796 0.00922455 1 0.055783 -0.000843803 0.0935695
R_signal_piKpipi_minus 3.44283e-05 0.000669424 0.00824569 0.00628909 -0.000968945 0.0179469 0.00857816 0.0106773 0.055783 1 -0.000831802 -0.0920768
A_signal_Kpi -1.21826e-05 1.04214e-05 -0.00442723 -0.00320057 -4.68158e-06 -0.0012631 0.0869504 -0.120945 -0.000843803 -0.000831802 1 0.000123893
A_signal_Kpipipi 5.94921e-06 1.91002e-05 -0.00110947 -0.000762772 -0.000119124 -0.00446482 -0.000488992 -0.000477491 0.0935695 -0.0920768 0.000123893 1
