 A_signal_KK_run1 A_signal_pipi_run1 R_signal_KK_run1 R_signal_pipi_run1 R_signal_piK_run1_plus R_signal_piK_run1_minus R_signal_piKpipi_run1_plus R_signal_piKpipi_run1_minus A_signal_Kpi_run1 A_signal_Kpipipi_run1
A_signal_KK_run1 1 -3.07334e-05 0.081937 5.3307e-05 -2.86144e-05 -0.000340842 0.000111428 3.00798e-05 7.49862e-05 -1.61052e-06
A_signal_pipi_run1 -3.07334e-05 1 -0.000360287 0.00972318 6.01388e-05 -0.00016807 -0.000454774 2.34877e-05 -8.67524e-05 -3.17249e-05
R_signal_KK_run1 0.081937 -0.000360287 1 0.0382412 0.00900896 0.0278578 0.0023421 0.00232056 -0.00465309 -0.000313562
R_signal_pipi_run1 5.3307e-05 0.00972318 0.0382412 1 0.00615187 0.0196804 0.00201186 0.00152803 -0.0032246 -0.000187245
R_signal_piK_run1_plus -2.86144e-05 6.01388e-05 0.00900896 0.00615187 1 0.0294004 0.00262331 0.00290973 0.0638086 -0.000196194
R_signal_piK_run1_minus -0.000340842 -0.00016807 0.0278578 0.0196804 0.0294004 1 0.00332396 0.00390896 -0.147424 -0.000320519
R_signal_piKpipi_run1_plus 0.000111428 -0.000454774 0.0023421 0.00201186 0.00262331 0.00332396 1 0.0336843 -3.9928e-05 0.136161
R_signal_piKpipi_run1_minus 3.00798e-05 2.34877e-05 0.00232056 0.00152803 0.00290973 0.00390896 0.0336843 1 0.000226685 -0.122562
A_signal_Kpi_run1 7.49862e-05 -8.67524e-05 -0.00465309 -0.0032246 0.0638086 -0.147424 -3.9928e-05 0.000226685 1 4.54198e-06
A_signal_Kpipipi_run1 -1.61052e-06 -3.17249e-05 -0.000313562 -0.000187245 -0.000196194 -0.000320519 0.136161 -0.122562 4.54198e-06 1
