 A_signal_KK_run2 A_signal_pipi_run2 R_signal_KK_run2 R_signal_pipi_run2 A_signal_pipipipi_run2 R_signal_pipipipi_run2 R_signal_piK_run2_plus R_signal_piK_run2_minus R_signal_piKpipi_run2_plus R_signal_piKpipi_run2_minus A_signal_Kpi_run2 A_signal_Kpipipi_run2
A_signal_KK_run2 1 -4.91012e-05 0.00315863 -0.000164398 -1.9352e-05 -0.00064033 3.33042e-05 8.50102e-05 -5.99275e-05 -8.06742e-06 -1.4217e-05 3.43148e-05
A_signal_pipi_run2 -4.91012e-05 1 0.00304962 0.0905371 -0.000147644 0.00627192 0.000331841 0.000587229 0.000110486 0.000417557 -0.000158903 0.000153816
R_signal_KK_run2 0.00315863 0.00304962 1 0.0421428 0.000154961 0.0335315 0.0191262 0.0228073 0.00497911 0.0054949 -0.0034474 -0.000617735
R_signal_pipi_run2 -0.000164398 0.0905371 0.0421428 1 -7.46517e-05 0.0264421 0.0141516 0.0170756 0.00340698 0.0041254 -0.00258313 -0.000401947
A_signal_pipipipi_run2 -1.9352e-05 -0.000147644 0.000154961 -7.46517e-05 1 0.00688468 -0.000215696 -0.000517832 6.92154e-05 -0.000461275 7.75607e-05 -0.000223439
R_signal_pipipipi_run2 -0.00064033 0.00627192 0.0335315 0.0264421 0.00688468 1 0.00575212 0.0070341 0.00875921 0.012905 -0.00158022 -0.00469862
R_signal_piK_run2_plus 3.33042e-05 0.000331841 0.0191262 0.0141516 -0.000215696 0.00575212 1 0.0377403 0.00559033 0.00581351 0.102422 -0.000168895
R_signal_piK_run2_minus 8.50102e-05 0.000587229 0.0228073 0.0170756 -0.000517832 0.0070341 0.0377403 1 0.00579633 0.0064478 -0.107459 1.86619e-05
R_signal_piKpipi_run2_plus -5.99275e-05 0.000110486 0.00497911 0.00340698 6.92154e-05 0.00875921 0.00559033 0.00579633 1 0.0465303 -0.000623279 0.0669228
R_signal_piKpipi_run2_minus -8.06742e-06 0.000417557 0.0054949 0.0041254 -0.000461275 0.012905 0.00581351 0.0064478 0.0465303 1 -0.000708021 -0.0760611
A_signal_Kpi_run2 -1.4217e-05 -0.000158903 -0.0034474 -0.00258313 7.75607e-05 -0.00158022 0.102422 -0.107459 -0.000623279 -0.000708021 1 -4.7435e-05
A_signal_Kpipipi_run2 3.43148e-05 0.000153816 -0.000617735 -0.000401947 -0.000223439 -0.00469862 -0.000168895 1.86619e-05 0.0669228 -0.0760611 -4.7435e-05 1
