 A_signal_KK_run1 A_signal_pipi_run1 R_signal_KK_run1 R_signal_pipi_run1 R_signal_piK_run1_plus R_signal_piK_run1_minus R_signal_piKpipi_run1_plus R_signal_piKpipi_run1_minus A_signal_Kpi_run1 A_signal_Kpipipi_run1
A_signal_KK_run1 1 0.785185 0.402541 -0.780213 0.519622 -0.800075 -0.824587 -0.811749 -0.737681 -0.733094
A_signal_pipi_run1 0.785185 1 0.375574 -0.710479 0.438281 -0.747093 -0.789256 -0.762635 -0.678394 -0.670412
R_signal_KK_run1 0.402541 0.375574 1 -0.380482 0.272304 -0.431564 -0.430424 -0.418358 -0.415358 -0.464523
R_signal_pipi_run1 -0.780213 -0.710479 -0.380482 1 -0.530728 0.832019 0.843832 0.824888 0.77075 0.777275
R_signal_piK_run1_plus 0.519622 0.438281 0.272304 -0.530728 1 -0.597971 -0.584471 -0.574533 -0.557735 -0.609713
R_signal_piK_run1_minus -0.800075 -0.747093 -0.431564 0.832019 -0.597971 1 0.876164 0.875575 0.795375 0.798807
R_signal_piKpipi_run1_plus -0.824587 -0.789256 -0.430424 0.843832 -0.584471 0.876164 1 0.872146 0.800442 0.803436
R_signal_piKpipi_run1_minus -0.811749 -0.762635 -0.418358 0.824888 -0.574533 0.875575 0.872146 1 0.796829 0.778289
A_signal_Kpi_run1 -0.737681 -0.678394 -0.415358 0.77075 -0.557735 0.795375 0.800442 0.796829 1 0.819042
A_signal_Kpipipi_run1 -0.733094 -0.670412 -0.464523 0.777275 -0.609713 0.798807 0.803436 0.778289 0.819042 1
