 A_signal_KK_run2 A_signal_pipi_run2 R_signal_KK_run2 R_signal_pipi_run2 A_signal_pipipipi_run2 R_signal_pipipipi_run2 R_signal_piK_run2_plus R_signal_piK_run2_minus R_signal_piKpipi_run2_plus R_signal_piKpipi_run2_minus A_signal_Kpi_run2 A_signal_Kpipipi_run2
A_signal_KK_run1 -0.805388 0.787866 0.493635 -0.762763 0.194121 -0.241807 -0.6736 -0.773405 0.742942 0.680961 -0.566591 -0.49862
A_signal_pipi_run1 -0.751378 0.758813 0.432693 -0.686801 0.225486 -0.232517 -0.695486 -0.752356 0.755691 0.686969 -0.497241 -0.412209
R_signal_KK_run1 -0.536352 0.369118 0.316841 -0.409864 0.135005 -0.0945148 -0.283871 -0.368661 0.437581 0.392819 -0.293977 -0.263948
R_signal_pipi_run1 0.833311 -0.786685 -0.567355 0.808393 -0.193642 0.235366 0.624057 0.779194 -0.719437 -0.674892 0.622517 0.547235
R_signal_piK_run1_plus -0.682649 0.522766 0.458606 -0.550746 0.150365 -0.175617 -0.405248 -0.509315 0.568392 0.499609 -0.418251 -0.393322
R_signal_piK_run1_minus 0.868803 -0.82421 -0.612553 0.834015 -0.204348 0.266326 0.68176 0.818612 -0.749214 -0.674433 0.671789 0.606665
R_signal_piKpipi_run1_plus 0.853715 -0.829966 -0.571901 0.832582 -0.192778 0.26431 0.694181 0.825906 -0.767642 -0.690783 0.651468 0.559418
R_signal_piKpipi_run1_minus 0.843411 -0.820154 -0.573782 0.820038 -0.191476 0.229036 0.695538 0.828312 -0.734647 -0.690128 0.630257 0.563401
A_signal_Kpi_run1 0.828818 -0.758765 -0.620464 0.769403 -0.18294 0.241372 0.593103 0.732689 -0.713169 -0.654285 0.633758 0.577876
A_signal_Kpipipi_run1 0.830736 -0.769818 -0.660206 0.761588 -0.190009 0.270309 0.623052 0.749106 -0.717418 -0.65908 0.668111 0.613542
