 A_signal_KK_run1 A_signal_pipi_run1 R_signal_KK_run1 R_signal_pipi_run1 R_signal_piK_run1_plus R_signal_piK_run1_minus R_signal_piKpipi_run1_plus R_signal_piKpipi_run1_minus A_signal_KK_run2 A_signal_pipi_run2 R_signal_KK_run2 R_signal_pipi_run2 A_signal_pipipipi_run2 R_signal_pipipipi_run2 R_signal_piK_run2_plus R_signal_piK_run2_minus R_signal_piKpipi_run2_plus R_signal_piKpipi_run2_minus
A_signal_KK_run1 1 0.785185 0.402541 -0.780213 0.519622 -0.800075 -0.824587 -0.811749 -0.805388 0.787866 0.493635 -0.762763 0.194121 -0.241807 -0.6736 -0.773405 0.742942 0.680961
A_signal_pipi_run1 0.785185 1 0.375574 -0.710479 0.438281 -0.747093 -0.789256 -0.762635 -0.751378 0.758813 0.432693 -0.686801 0.225486 -0.232517 -0.695486 -0.752356 0.755691 0.686969
R_signal_KK_run1 0.402541 0.375574 1 -0.380482 0.272304 -0.431564 -0.430424 -0.418358 -0.536352 0.369118 0.316841 -0.409864 0.135005 -0.0945148 -0.283871 -0.368661 0.437581 0.392819
R_signal_pipi_run1 -0.780213 -0.710479 -0.380482 1 -0.530728 0.832019 0.843832 0.824888 0.833311 -0.786685 -0.567355 0.808393 -0.193642 0.235366 0.624057 0.779194 -0.719437 -0.674892
R_signal_piK_run1_plus 0.519622 0.438281 0.272304 -0.530728 1 -0.597971 -0.584471 -0.574533 -0.682649 0.522766 0.458606 -0.550746 0.150365 -0.175617 -0.405248 -0.509315 0.568392 0.499609
R_signal_piK_run1_minus -0.800075 -0.747093 -0.431564 0.832019 -0.597971 1 0.876164 0.875575 0.868803 -0.82421 -0.612553 0.834015 -0.204348 0.266326 0.68176 0.818612 -0.749214 -0.674433
R_signal_piKpipi_run1_plus -0.824587 -0.789256 -0.430424 0.843832 -0.584471 0.876164 1 0.872146 0.853715 -0.829966 -0.571901 0.832582 -0.192778 0.26431 0.694181 0.825906 -0.767642 -0.690783
R_signal_piKpipi_run1_minus -0.811749 -0.762635 -0.418358 0.824888 -0.574533 0.875575 0.872146 1 0.843411 -0.820154 -0.573782 0.820038 -0.191476 0.229036 0.695538 0.828312 -0.734647 -0.690128
A_signal_KK_run2 -0.805388 -0.751378 -0.536352 0.833311 -0.682649 0.868803 0.853715 0.843411 1 -0.815159 -0.722715 0.836047 0.0257329 0.279684 0.705981 0.797094 -0.757039 -0.751471
A_signal_pipi_run2 0.787866 0.758813 0.369118 -0.786685 0.522766 -0.82421 -0.829966 -0.820154 -0.815159 1 0.537106 -0.790707 0.235707 -0.234774 -0.675845 -0.775056 0.728947 0.679371
R_signal_KK_run2 0.493635 0.432693 0.316841 -0.567355 0.458606 -0.612553 -0.571901 -0.573782 -0.722715 0.537106 1 -0.557769 0.0773079 -0.167343 -0.369132 -0.505896 0.551796 0.511147
R_signal_pipi_run2 -0.762763 -0.686801 -0.409864 0.808393 -0.550746 0.834015 0.832582 0.820038 0.836047 -0.790707 -0.557769 1 -0.224273 0.246873 0.636395 0.778852 -0.733641 -0.659925
A_signal_pipipipi_run2 0.194121 0.225486 0.135005 -0.193642 0.150365 -0.204348 -0.192778 -0.191476 0.0257329 0.235707 0.0773079 -0.224273 1 -0.127059 -0.148481 -0.226872 0.245964 0.113967
R_signal_pipipipi_run2 -0.241807 -0.232517 -0.0945148 0.235366 -0.175617 0.266326 0.26431 0.229036 0.279684 -0.234774 -0.167343 0.246873 -0.127059 1 0.165217 0.252037 -0.270527 -0.171591
R_signal_piK_run2_plus -0.6736 -0.695486 -0.283871 0.624057 -0.405248 0.68176 0.694181 0.695538 0.705981 -0.675845 -0.369132 0.636395 -0.148481 0.165217 1 0.676077 -0.576684 -0.587481
R_signal_piK_run2_minus -0.773405 -0.752356 -0.368661 0.779194 -0.509315 0.818612 0.825906 0.828312 0.797094 -0.775056 -0.505896 0.778852 -0.226872 0.252037 0.676077 1 -0.70519 -0.650551
R_signal_piKpipi_run2_plus 0.742942 0.755691 0.437581 -0.719437 0.568392 -0.749214 -0.767642 -0.734647 -0.757039 0.728947 0.551796 -0.733641 0.245964 -0.270527 -0.576684 -0.70519 1 0.699412
R_signal_piKpipi_run2_minus 0.680961 0.686969 0.392819 -0.674892 0.499609 -0.674433 -0.690783 -0.690128 -0.751471 0.679371 0.511147 -0.659925 0.113967 -0.171591 -0.587481 -0.650551 0.699412 1
