 A_signal_KK A_signal_pipi R_signal_KK R_signal_pipi A_signal_pipipipi R_signal_pipipipi R_signal_piK_plus R_signal_piK_minus R_signal_piKpipi_plus R_signal_piKpipi_minus A_signal_Kpi A_signal_Kpipipi
A_signal_KK 0.0103437 4.74018e-05 0.000355806 -0.000138338 3.39968e-05 -8.10186e-05 -3.07262e-06 -1.33877e-05 -1.35791e-05 -1.39716e-05 -4.2211e-05 -3.9422e-05
A_signal_pipi 4.74018e-05 0.0201438 8.8011e-05 0.00170089 1.54506e-05 -1.16202e-06 -2.14261e-06 -1.283e-05 -1.5076e-05 -1.25165e-05 -4.99542e-05 -4.79737e-05
R_signal_KK 0.000355806 8.8011e-05 0.0101358 0.000769387 2.63342e-05 0.000510771 3.65087e-05 3.37709e-05 -6.94999e-06 -7.62699e-06 -0.000103053 -0.000101066
R_signal_pipi -0.000138338 0.00170089 0.000769387 0.0385739 -5.49801e-05 0.00131132 5.87082e-05 0.000142663 8.73486e-05 9.00302e-05 0.000188295 0.000198154
A_signal_pipipipi 3.39968e-05 1.54506e-05 2.63342e-05 -5.49801e-05 0.0230551 0.000133469 -1.26365e-06 -7.02726e-06 -4.09646e-06 -1.02846e-05 1.02983e-06 1.2337e-05
R_signal_pipipipi -8.10186e-05 -1.16202e-06 0.000510771 0.00131132 0.000133469 0.0284102 2.33896e-05 5.99418e-05 9.88936e-05 0.000107371 7.58517e-05 6.08999e-05
R_signal_piK_plus -3.07262e-06 -2.14261e-06 3.65087e-05 5.87082e-05 -1.26365e-06 2.33896e-05 0.000432704 2.09112e-05 4.98236e-06 5.10941e-06 5.08545e-05 1.30436e-06
R_signal_piK_minus -1.33877e-05 -1.283e-05 3.37709e-05 0.000142663 -7.02726e-06 5.99418e-05 2.09112e-05 0.000438949 1.00654e-05 1.06717e-05 -5.01714e-05 1.76415e-05
R_signal_piKpipi_plus -1.35791e-05 -1.5076e-05 -6.94999e-06 8.73486e-05 -4.09646e-06 9.88936e-05 4.98236e-06 1.00654e-05 0.000667132 4.06119e-05 1.81356e-05 9.61228e-05
R_signal_piKpipi_minus -1.39716e-05 -1.25165e-05 -7.62699e-06 9.00302e-05 -1.02846e-05 0.000107371 5.10941e-06 1.06717e-05 4.06119e-05 0.000607259 1.81774e-05 -5.32843e-05
A_signal_Kpi -4.2211e-05 -4.99542e-05 -0.000103053 0.000188295 1.02983e-06 7.58517e-05 5.08545e-05 -5.01714e-05 1.81356e-05 1.81774e-05 0.000840221 7.62033e-05
A_signal_Kpipipi -3.9422e-05 -4.79737e-05 -0.000101066 0.000198154 1.2337e-05 6.08999e-05 1.30436e-06 1.76415e-05 9.61228e-05 -5.32843e-05 7.62033e-05 0.00112651
