 A_signal_KK_run1 A_signal_pipi_run1 R_signal_KK_run1 R_signal_pipi_run1 R_signal_piK_run1_plus R_signal_piK_run1_minus R_signal_piKpipi_run1_plus R_signal_piKpipi_run1_minus A_signal_Kpi_run1 A_signal_Kpipipi_run1
A_signal_KK_run1 0.0248233 3.41134e-05 0.00205001 -0.000199992 1.15961e-05 -2.04169e-05 -2.20583e-05 -2.1685e-05 -3.79749e-05 -4.45047e-05
A_signal_pipi_run1 3.41134e-05 0.0520048 4.66268e-05 0.000547909 9.75141e-06 -1.76354e-05 -2.51976e-05 -1.9127e-05 -3.41849e-05 -3.86737e-05
R_signal_KK_run1 0.00205001 4.66268e-05 0.0242194 0.0015663 6.5273e-05 0.000115171 -2.58927e-05 -2.43326e-05 -0.00010752 -0.000101661
R_signal_pipi_run1 -0.000199992 0.000547909 0.0015663 0.107435 -2.26216e-06 0.000330065 0.000156648 0.000142703 0.000173385 0.000254086
R_signal_piK_run1_plus 1.15961e-05 9.75141e-06 6.5273e-05 -2.26216e-06 0.00100356 2.59552e-05 -3.99175e-06 -3.39999e-06 7.41463e-05 -1.78634e-05
R_signal_piK_run1_minus -2.04169e-05 -1.76354e-05 0.000115171 0.000330065 2.59552e-05 0.00124372 1.69985e-05 1.73828e-05 -0.000206203 2.29866e-05
R_signal_piKpipi_run1_plus -2.20583e-05 -2.51976e-05 -2.58927e-05 0.000156648 -3.99175e-06 1.69985e-05 0.00200182 7.82545e-05 2.42016e-05 0.000342547
R_signal_piKpipi_run1_minus -2.1685e-05 -1.9127e-05 -2.43326e-05 0.000142703 -3.39999e-06 1.73828e-05 7.82545e-05 0.00186653 2.39563e-05 -0.000246347
A_signal_Kpi_run1 -3.79749e-05 -3.41849e-05 -0.00010752 0.000173385 7.41463e-05 -0.000206203 2.42016e-05 2.39563e-05 0.00197036 5.44451e-05
A_signal_Kpipipi_run1 -4.45047e-05 -3.86737e-05 -0.000101661 0.000254086 -1.78634e-05 2.29866e-05 0.000342547 -0.000246347 5.44451e-05 0.00275889
