 A_signal_KK_run2 A_signal_pipi_run2 R_signal_KK_run2 R_signal_pipi_run2 A_signal_pipipipi_run2 R_signal_pipipipi_run2 R_signal_piK_run2_plus R_signal_piK_run2_minus R_signal_piKpipi_run2_plus R_signal_piKpipi_run2_minus A_signal_Kpi_run2 A_signal_Kpipipi_run2
A_signal_KK_run2 0.0175848 -0.000191449 -0.000184582 0.000415757 4.62449e-06 0.000147573 3.69606e-05 4.0029e-05 -3.52136e-05 -3.18843e-05 0.000206114 0.000201222
A_signal_pipi_run2 -0.000191449 0.0321706 0.000232513 0.00346256 3.86972e-05 5.78251e-05 -3.12211e-05 -3.33296e-05 3.19304e-05 2.89507e-05 -0.000141273 -0.000112903
R_signal_KK_run2 -0.000184582 0.000232513 0.0163012 0.000890541 2.2619e-05 0.000566613 3.94055e-05 3.88958e-05 5.25036e-05 4.83592e-05 -0.000190203 -0.000179556
R_signal_pipi_run2 0.000415757 0.00346256 0.000890541 0.0570984 -9.02667e-05 0.00131278 0.000156444 0.00017905 -4.32984e-05 -2.78226e-05 0.000293687 0.0002689
A_signal_pipipipi_run2 4.62449e-06 3.86972e-05 2.2619e-05 -9.02667e-05 0.0230276 0.000113883 -6.88595e-06 -1.0736e-05 9.13563e-06 1.72741e-06 2.52996e-05 3.80265e-05
R_signal_pipipipi_run2 0.000147573 5.78251e-05 0.000566613 0.00131278 0.000113883 0.0282209 4.51077e-05 5.7751e-05 1.52179e-05 4.45626e-05 7.71167e-05 4.45775e-05
R_signal_piK_run2_plus 3.69606e-05 -3.12211e-05 3.94055e-05 0.000156444 -6.88595e-06 4.51077e-05 0.000729048 3.23051e-05 -9.55723e-07 -6.66887e-07 0.000118556 2.06981e-05
R_signal_piK_run2_minus 4.0029e-05 -3.33296e-05 3.88958e-05 0.00017905 -1.0736e-05 5.7751e-05 3.23051e-05 0.00063533 -2.03785e-06 -8.1008e-07 -6.57418e-05 2.47912e-05
R_signal_piKpipi_run2_plus -3.52136e-05 3.19304e-05 5.25036e-05 -4.32984e-05 9.13563e-06 1.52179e-05 -9.55723e-07 -2.03785e-06 0.000944923 4.66929e-05 -2.5078e-05 6.02819e-05
R_signal_piKpipi_run2_minus -3.18843e-05 2.89507e-05 4.83592e-05 -2.78226e-05 1.72741e-06 4.45626e-05 -6.66887e-07 -8.1008e-07 4.66929e-05 0.000845835 -2.32098e-05 -0.000110289
A_signal_Kpi_run2 0.000206114 -0.000141273 -0.000190203 0.000293687 2.52996e-05 7.71167e-05 0.000118556 -6.57418e-05 -2.5078e-05 -2.32098e-05 0.00145366 0.000162802
A_signal_Kpipipi_run2 0.000201222 -0.000112903 -0.000179556 0.0002689 3.80265e-05 4.45775e-05 2.06981e-05 2.47912e-05 6.02819e-05 -0.000110289 0.000162802 0.00190178
