 A_signal_KK_run1 A_signal_pipi_run1 R_signal_KK_run1 R_signal_pipi_run1 R_signal_piK_run1_plus R_signal_piK_run1_minus R_signal_piKpipi_run1_plus R_signal_piKpipi_run1_minus A_signal_Kpi_run1 A_signal_Kpipipi_run1 A_signal_KK_run2 A_signal_pipi_run2 R_signal_KK_run2 R_signal_pipi_run2 A_signal_pipipipi_run2 R_signal_pipipipi_run2 R_signal_piK_run2_plus R_signal_piK_run2_minus R_signal_piKpipi_run2_plus R_signal_piKpipi_run2_minus A_signal_Kpi_run2 A_signal_Kpipipi_run2
A_signal_KK_run1 0.0248233 3.41134e-05 0.00205001 -0.000199992 1.15961e-05 -2.04169e-05 -2.20583e-05 -2.1685e-05 -3.79749e-05 -4.45047e-05 -8.91947e-05 8.85581e-05 0.000115292 -0.000122253 1.83863e-05 7.39048e-07 -1.39431e-05 -1.54721e-05 1.57094e-05 1.31858e-05 -6.23101e-05 -5.62446e-05
A_signal_pipi_run1 3.41134e-05 0.0520048 4.66268e-05 0.000547909 9.75141e-06 -1.76354e-05 -2.51976e-05 -1.9127e-05 -3.41849e-05 -3.86737e-05 -7.61714e-05 6.68652e-05 3.40486e-05 -0.000174843 1.38057e-05 -9.70913e-05 -1.6697e-05 -1.70441e-05 1.21867e-05 1.20215e-05 -5.01946e-05 -4.42719e-05
R_signal_KK_run1 0.00205001 4.66268e-05 0.0242194 0.0015663 6.5273e-05 0.000115171 -2.58927e-05 -2.43326e-05 -0.00010752 -0.000101661 -0.000217009 0.000190646 0.00062487 0.000195557 4.3699e-05 0.000417285 -1.80487e-05 -2.29846e-05 4.26631e-05 3.80334e-05 -0.000118369 -0.000107281
R_signal_pipi_run1 -0.000199992 0.000547909 0.0015663 0.107435 -2.26216e-06 0.000330065 0.000156648 0.000142703 0.000173385 0.000254086 0.00048523 -0.000337542 0.000155795 0.00176531 -7.89537e-05 0.00117222 8.3107e-05 9.84313e-05 -5.95281e-05 -5.02615e-05 0.000363964 0.0003312
R_signal_piK_run1_plus 1.15961e-05 9.75141e-06 6.5273e-05 -2.26216e-06 0.00100356 2.59552e-05 -3.99175e-06 -3.39999e-06 7.41463e-05 -1.78634e-05 -3.5529e-05 2.6199e-05 4.53098e-05 -3.94189e-05 5.63651e-06 -1.14439e-05 1.92603e-05 6.73968e-06 8.76815e-06 7.66171e-06 -2.21528e-05 -2.12067e-05
R_signal_piK_run1_minus -2.04169e-05 -1.76354e-05 0.000115171 0.000330065 2.59552e-05 0.00124372 1.69985e-05 1.73828e-05 -0.000206203 2.29866e-05 4.59636e-05 -3.72759e-05 -5.99721e-06 0.000135485 -9.6327e-06 6.04784e-05 2.07246e-05 3.2387e-05 -3.15402e-06 -1.78434e-06 3.47919e-05 3.29105e-05
R_signal_piKpipi_run1_plus -2.20583e-05 -2.51976e-05 -2.58927e-05 0.000156648 -3.99175e-06 1.69985e-05 0.00200182 7.82545e-05 2.42016e-05 0.000342547 5.40328e-05 -4.79172e-05 -1.8204e-05 0.000144202 -9.32708e-06 6.88588e-05 1.51117e-05 1.63457e-05 3.32479e-05 1.47513e-05 4.03525e-05 3.73882e-05
R_signal_piKpipi_run1_minus -2.1685e-05 -1.9127e-05 -2.43326e-05 0.000142703 -3.39999e-06 1.73828e-05 7.82545e-05 0.00186653 2.39563e-05 -0.000246347 5.2615e-05 -4.13829e-05 -1.75532e-05 0.000145324 -1.58072e-05 7.20317e-05 1.5255e-05 1.73476e-05 1.60399e-05 3.2659e-05 3.77444e-05 3.77162e-05
A_signal_Kpi_run1 -3.79749e-05 -3.41849e-05 -0.00010752 0.000173385 7.41463e-05 -0.000206203 2.42016e-05 2.39563e-05 0.00197036 5.44451e-05 9.93756e-05 -8.34584e-05 -0.0001004 0.000181359 -1.76796e-05 6.61821e-05 1.52345e-05 1.80268e-05 -1.58994e-05 -1.33275e-05 7.65541e-05 7.13538e-05
A_signal_Kpipipi_run1 -4.45047e-05 -3.86737e-05 -0.000101661 0.000254086 -1.78634e-05 2.29866e-05 0.000342547 -0.000246347 5.44451e-05 0.00275889 0.000115635 -0.000100313 -0.00012516 0.000205132 -1.98465e-05 7.90632e-05 1.73615e-05 1.99171e-05 -1.88289e-05 -1.61494e-05 9.35588e-05 8.88165e-05
A_signal_KK_run2 -8.91947e-05 -7.61714e-05 -0.000217009 0.00048523 -3.5529e-05 4.59636e-05 5.40328e-05 5.2615e-05 9.93756e-05 0.000115635 0.0175848 -0.000191449 -0.000184582 0.000415757 4.62449e-06 0.000147573 3.69606e-05 4.0029e-05 -3.52136e-05 -3.18843e-05 0.000206114 0.000201222
A_signal_pipi_run2 8.85581e-05 6.68652e-05 0.000190646 -0.000337542 2.6199e-05 -3.72759e-05 -4.79172e-05 -4.13829e-05 -8.34584e-05 -0.000100313 -0.000191449 0.0321706 0.000232513 0.00346256 3.86972e-05 5.78251e-05 -3.12211e-05 -3.33296e-05 3.19304e-05 2.89507e-05 -0.000141273 -0.000112903
R_signal_KK_run2 0.000115292 3.40486e-05 0.00062487 0.000155795 4.53098e-05 -5.99721e-06 -1.8204e-05 -1.75532e-05 -0.0001004 -0.00012516 -0.000184582 0.000232513 0.0163012 0.000890541 2.2619e-05 0.000566613 3.94055e-05 3.88958e-05 5.25036e-05 4.83592e-05 -0.000190203 -0.000179556
R_signal_pipi_run2 -0.000122253 -0.000174843 0.000195557 0.00176531 -3.94189e-05 0.000135485 0.000144202 0.000145324 0.000181359 0.000205132 0.000415757 0.00346256 0.000890541 0.0570984 -9.02667e-05 0.00131278 0.000156444 0.00017905 -4.32984e-05 -2.78226e-05 0.000293687 0.0002689
A_signal_pipipipi_run2 1.83863e-05 1.38057e-05 4.3699e-05 -7.89537e-05 5.63651e-06 -9.6327e-06 -9.32708e-06 -1.58072e-05 -1.76796e-05 -1.98465e-05 4.62449e-06 3.86972e-05 2.2619e-05 -9.02667e-05 0.0230276 0.000113883 -6.88595e-06 -1.0736e-05 9.13563e-06 1.72741e-06 2.52996e-05 3.80265e-05
R_signal_pipipipi_run2 7.39048e-07 -9.70913e-05 0.000417285 0.00117222 -1.14439e-05 6.04784e-05 6.88588e-05 7.20317e-05 6.61821e-05 7.90632e-05 0.000147573 5.78251e-05 0.000566613 0.00131278 0.000113883 0.0282209 4.51077e-05 5.7751e-05 1.52179e-05 4.45626e-05 7.71167e-05 4.45775e-05
