KK_2012_down 0.160837 0.00384742
KK_2012_up 0.152954 0.00369224
KK_2015_down 0.140664 0.00176181
KK_2015_up 0.141732 0.00173428
KK_2016_down 0.155734 0.00188511
KK_2016_up 0.147724 0.00184733
KK_2017_down 0.109232 0.00137031
KK_2017_up 0.111462 0.00137203
KK_2018_up 0.112628 0.00145326
Kpi_2011_down 0.101639 0.00181789
Kpi_2011_up 0.10244 0.00182863
Kpi_2012_down 0.117748 0.00197487
Kpi_2012_up 0.11631 0.0019221
Kpi_2015_down 0.10459 0.00126453
Kpi_2015_up 0.105559 0.00125443
Kpi_2016_down 0.146693 0.00163453
Kpi_2016_up 0.14804 0.00164276
Kpi_2017_down 0.242171 0.00241574
Kpi_2017_up 0.248191 0.00242337
Kpi_2018_down 0.252089 0.00182061
Kpi_2018_up 0.254987 0.00253486
Kpipipi_2011_down -nan -nan
Kpipipi_2011_up -nan -nan
Kpipipi_2012_down 0.0514166 0.000829598
Kpipipi_2012_up 0.0526952 0.000834902
Kpipipi_2015_down -nan -nan
Kpipipi_2015_up -nan -nan
Kpipipi_2016_down 0.102232 0.001276
Kpipipi_2016_up 0.103217 0.001286
Kpipipi_2017_down 0.110925 0.00150969
Kpipipi_2017_up 0.116958 0.00153783
Kpipipi_2018_down 0.10756 0.00157981
Kpipipi_2018_up 0.108387 0.00160225
pipi_2012_down 0.158132 0.00364391
pipi_2012_up 0.163545 0.00377132
pipi_2015_down 0.14875 0.00168435
pipi_2015_up 0.153557 0.00178812
pipi_2016_down 0.153101 0.00172523
pipi_2016_up 0.153739 0.00174495
pipi_2017_down 0.105648 0.00129135
pipi_2017_up 0.103797 0.0012947
pipi_2018_down 0.110132 0.00138241
pipi_2018_up 0.112398 0.00125867
pipipipi_2011_down -nan -nan
pipipipi_2011_up -nan -nan
pipipipi_2015_down -nan -nan
pipipipi_2015_up -nan -nan
pipipipi_2016_down 0.129064 0.00157011
pipipipi_2016_up 0.123488 0.00154434
pipipipi_2017_down 0.0365232 0.000712032
pipipipi_2017_up 0.0387765 0.000724108
pipipipi_2018_down 0.0367119 0.000753719
pipipipi_2018_up 0.0353331 0.000724856
