KK_2012_down 0.010148 0.000290
KK_2012_up 0.009939 0.000286
KK_2015_down 0.010622 0.000161
KK_2015_up 0.010466 0.000155
KK_2016_down 0.011790 0.000163
KK_2016_up 0.011317 0.000161
KK_2017_down 0.010741 0.000150
KK_2017_up 0.011157 0.000156
KK_2018_up 0.009976 0.000144
Kpi_2011_down 0.010928 0.000218
Kpi_2011_up 0.011182 0.000221
Kpi_2012_down 0.011050 0.000218
Kpi_2012_up 0.011049 0.000214
Kpi_2015_down 0.012027 0.000168
Kpi_2015_up 0.012064 0.000167
Kpi_2016_down 0.013106 0.000170
Kpi_2016_up 0.013165 0.000169
Kpi_2017_down 0.013726 0.000172
Kpi_2017_up 0.014331 0.000176
Kpi_2018_down 0.011940 0.000113
Kpi_2018_up 0.012752 0.000164
Kpipipi_2011_down -nan -nan
Kpipipi_2011_up -nan -nan
Kpipipi_2012_down 0.003918 0.000065
Kpipipi_2012_up 0.003919 0.000064
Kpipipi_2015_down -nan -nan
Kpipipi_2015_up -nan -nan
Kpipipi_2016_down 0.005390 0.000076
Kpipipi_2016_up 0.005434 0.000076
Kpipipi_2017_down 0.003852 0.000064
Kpipipi_2017_up 0.004101 0.000066
Kpipipi_2018_down 0.003360 0.000059
Kpipipi_2018_up 0.003510 0.000060
pipi_2012_down 0.010556 0.000293
pipi_2012_up 0.010735 0.000300
pipi_2015_down 0.011742 0.000158
pipi_2015_up 0.012089 0.000169
pipi_2016_down 0.013270 0.000168
pipi_2016_up 0.013417 0.000169
pipi_2017_down 0.011923 0.000158
pipi_2017_up 0.011498 0.000155
pipi_2018_down 0.010129 0.000146
pipi_2018_up 0.010377 0.000136
pipipipi_2011_down -nan -nan
pipipipi_2011_up -nan -nan
pipipipi_2015_down -nan -nan
pipipipi_2015_up -nan -nan
pipipipi_2016_down 0.005852 0.000078
pipipipi_2016_up 0.005687 0.000078
pipipipi_2017_down 0.002199 0.000048
pipipipi_2017_up 0.002417 0.000050
pipipipi_2018_down 0.001926 0.000043
pipipipi_2018_up 0.001935 0.000043
