KK_2012_down 0.0112106 0.0101481 -0.00106253 0.000290062
KK_2012_up 0.0112016 0.00993929 -0.00126236 0.000286173
KK_2015_down 0.0132122 0.0106217 -0.00259048 0.000160848
KK_2015_up 0.0128656 0.0104659 -0.00239969 0.000154932
KK_2016_down 0.0134735 0.0117903 -0.00168313 0.000163042
KK_2016_up 0.013148 0.0113172 -0.00183074 0.000161029
KK_2017_down 0.0116881 0.010741 -0.000947104 0.000149821
KK_2017_up 0.0123269 0.0111566 -0.00117031 0.000156
KK_2018_up 0.0106554 0.00997552 -0.000679907 0.000144415
Kpi_2011_down 0.0123552 0.0109278 -0.00142745 0.000218048
Kpi_2011_up 0.0123999 0.0111821 -0.00121781 0.000220791
Kpi_2012_down 0.0124315 0.0110503 -0.00138122 0.000217913
Kpi_2012_up 0.0122984 0.011049 -0.00124935 0.000214101
Kpi_2015_down 0.0144427 0.0120266 -0.00241613 0.000168194
Kpi_2015_up 0.0144296 0.0120645 -0.0023651 0.000167239
Kpi_2016_down 0.0146775 0.0131062 -0.00157139 0.000169504
Kpi_2016_up 0.0146793 0.0131647 -0.00151465 0.000169421
Kpi_2017_down 0.0150896 0.0137261 -0.00136353 0.00017229
Kpi_2017_up 0.0158367 0.0143308 -0.00150587 0.000175916
Kpi_2018_down 0.0132267 0.0119402 -0.00128648 0.00011294
Kpi_2018_up 0.0139613 0.0127523 -0.00120902 0.000164471
Kpipipi_2011_down -nan -nan -nan -nan
Kpipipi_2011_up -nan -nan -nan -nan
Kpipipi_2012_down 0.00424086 0.00391818 -0.00032268 6.48451e-05
Kpipipi_2012_up 0.00421367 0.00391868 -0.000294987 6.43547e-05
Kpipipi_2015_down -nan -nan -nan -nan
Kpipipi_2015_up -nan -nan -nan -nan
Kpipipi_2016_down 0.00579829 0.00538987 -0.000408426 7.57382e-05
Kpipipi_2016_up 0.00588561 0.00543363 -0.000451987 7.61599e-05
Kpipipi_2017_down 0.00407706 0.00385246 -0.0002246 6.3683e-05
Kpipipi_2017_up 0.00433774 0.00410148 -0.000236258 6.56788e-05
Kpipipi_2018_down 0.00354525 0.00336022 -0.00018503 5.8787e-05
Kpipipi_2018_up 0.00368041 0.00351013 -0.000170279 6.02884e-05
pipi_2012_down 0.0116501 0.0105563 -0.0010938 0.000292864
pipi_2012_up 0.0121353 0.0107354 -0.00139993 0.000300226
pipi_2015_down 0.0140239 0.0117415 -0.0022824 0.000158089
pipi_2015_up 0.0144988 0.0120886 -0.00241018 0.000169017
pipi_2016_down 0.0149268 0.01327 -0.00165675 0.000168265
pipi_2016_up 0.0148673 0.0134173 -0.00145004 0.000169435
pipi_2017_down 0.0126315 0.0119228 -0.000708678 0.000157795
pipi_2017_up 0.0122691 0.0114977 -0.000771335 0.000155462
pipi_2018_down 0.0109301 0.0101295 -0.000800624 0.000145729
pipi_2018_up 0.0114446 0.0103769 -0.00106765 0.000135607
pipipipi_2011_down -nan -nan -nan -nan
pipipipi_2011_up -nan -nan -nan -nan
pipipipi_2015_down -nan -nan -nan -nan
pipipipi_2015_up -nan -nan -nan -nan
pipipipi_2016_down 0.00622225 0.00585155 -0.000370706 7.83667e-05
pipipipi_2016_up 0.00605123 0.0056874 -0.000363822 7.75233e-05
pipipipi_2017_down 0.00227757 0.00219918 -7.83883e-05 4.76545e-05
pipipipi_2017_up 0.00250502 0.00241731 -8.77053e-05 4.99577e-05
pipipipi_2018_down 0.0019284 0.00192625 -2.14756e-06 4.29607e-05
pipipipi_2018_up 0.00195311 0.00193534 -1.77712e-05 4.32641e-05
