    Floating Parameter  InitialValue    FinalValue +/-  Error     GblCorr.
  --------------------  ------------  --------------------------  --------
params_A_Bs_KK_run1    0.0000e+00   -1.7834e-02 +/-  6.24e-02  <none>
params_A_Bs_KK_run2    0.0000e+00   -2.3297e-02 +/-  6.24e-02  <none>
params_A_Bs_low_piK    0.0000e+00   -4.0666e-03 +/-  1.84e-02  <none>
params_A_Bs_low_piKpipi    0.0000e+00    1.6724e-02 +/-  2.66e-02  <none>
params_A_Bs_piK    0.0000e+00   -2.1491e-03 +/-  1.77e-02  <none>
params_A_Bs_piKpipi    0.0000e+00   -2.3622e-03 +/-  2.45e-02  <none>
params_A_Bs_pipi_run1    0.0000e+00   -9.1912e-04 +/-  8.83e-02  <none>
params_A_Bs_pipi_run2    0.0000e+00   -1.2837e-02 +/-  8.83e-02  <none>
params_A_Bs_pipipipi_run2    0.0000e+00   -1.7228e-02 +/-  8.83e-02  <none>
params_A_low_GLW    0.0000e+00   -6.3952e-01 +/-  1.50e-03  <none>
params_A_low_Kpi    0.0000e+00   -5.7577e-04 +/-  2.36e-02  <none>
params_A_low_Kpipipi    0.0000e+00   -2.6856e-03 +/-  2.66e-02  <none>
params_A_signal_KK_run1_blind    0.0000e+00   -2.9743e-02 +/-  8.82e-02  <none>
params_A_signal_KK_run2_blind    0.0000e+00   -9.6836e-03 +/-  8.83e-02  <none>
params_A_signal_Kpi    0.0000e+00   -8.7473e-03 +/-  2.66e-02  <none>
params_A_signal_Kpipipi    0.0000e+00   -1.5400e-03 +/-  2.95e-02  <none>
params_A_signal_pipi_run1_blind    0.0000e+00    2.6559e-02 +/-  8.82e-02  <none>
params_A_signal_pipi_run2_blind    0.0000e+00   -2.7103e-01 +/-  8.50e-02  <none>
params_A_signal_pipipipi_run2_blind    0.0000e+00   -8.9284e-03 +/-  8.83e-02  <none>
params_BF_R_DKpipi_vs_signal    1.0000e-01    2.2974e-01 +/-  2.79e-01  <none>
params_BF_R_low_vs_signal    1.4000e+00    1.9998e+00 +/-  8.62e-01  <none>
params_BF_R_low_vs_signal_Bs    1.5000e+00    1.9939e+00 +/-  2.27e-01  <none>
params_BF_R_rho_run1    7.0000e-02    7.8595e-02 +/-  1.47e-01  <none>
params_Bs_low_frac_010    6.5000e-01    6.3170e-01 +/-  1.91e-02  <none>
params_Bs_sigma_L    1.2536e+01    1.2284e+01 +/-  1.55e-01  <none>
params_N_Bs_KK_run1    3.0900e+02    3.2872e+02 +/-  2.26e+01  <none>
params_N_Bs_KK_run2    3.7367e+02    4.0018e+02 +/-  2.37e+01  <none>
params_N_Bs_piK_run1    1.3230e+03    1.3423e+03 +/-  2.47e+01  <none>
params_N_Bs_piK_run2    1.8040e+03    1.8195e+03 +/-  2.80e+01  <none>
params_N_Bs_piKpipi_run1    7.4067e+02    8.1460e+01 +/-  2.18e+03  <none>
params_N_Bs_piKpipi_run2    1.3593e+03    1.3772e+03 +/-  2.49e+01  <none>
params_N_Bs_pipi_run1    8.9333e+01    9.7343e+01 +/-  1.14e+01  <none>
params_N_Bs_pipi_run2    1.4100e+02    1.4690e+02 +/-  1.26e+01  <none>
